insertar,registro,registro_senasa,marca,empresa,activos,banda_toxocologica,producto_propio,precio,rentabilidad,precio_minimo,precio_maximo
FALSE,S_41687,41687,BOKKEN,SUMMIT AGRO ARGENTINA S A,BIFENTRIN 9%## DINOTEFURAN 18%,II,FALSE,19,5%,15.2,22.8
FALSE,S_41686,41686,IMIDACLOPRID GÉNESIS,ROMCOX AGRO S. R. L.,IMIDACLOPRID 35%,II,FALSE,13,3%,10.4,15.6
FALSE,S_41685,41685,METOLACLORO GÉNESIS,ROMCOX AGRO S. R. L.,S-METOLACLORO 96%,III,FALSE,22,10%,17.6,26.4
FALSE,S_41684,41684,GLIFOSATO GÉNESIS,ROMCOX AGRO S. R. L.,"GLIFOSATO 66,2%",IV,FALSE,20,12%,16,24
FALSE,S_41683,41683,ATRAZINA GÉNESIS,ROMCOX AGRO S. R. L.,ATRAZINA 50%,III,FALSE,11,7%,8.8,13.2
FALSE,S_41682,41682,BIFENTRIN 25 PRODINSA,PRODINSA ARGENTINA S A,BIFENTRIN 25%,II,FALSE,10,15%,8,12
FALSE,S_41681,41681,SURFAWET,AKTIV S.R.L.,ALCOHOL LAURICO ETOXILADO 40%,III,FALSE,25,11%,20,30
FALSE,S_41680,41680,PHILDIM 40,PHILAGRO S.A,DIMETOATO 40%,II,FALSE,19,25%,15.2,22.8
FALSE,S_41679,41679,TIAMETOXAM + LAMBDACIALOTRINA EBC,ENRIQUE M BAYA CASAL S A,"LAMBDA-CIALOTRINA 10,6%## TIAMETOXAM 14,1%",III,FALSE,25,2%,20,30
FALSE,S_41678,41678,KATANGA,BROMETAN S R L,FOSETIL ALUMINIO 80%,III,FALSE,6,19%,4.8,7.2
FALSE,S_41677,41677,JALISCO,BROMETAN S R L,HEXITIAZOX 10%,III,FALSE,11,5%,8.8,13.2
TRUE,S_41676,41676,FLUMIX,SINER S A,FLUMIOXAZIN 48%,IV,FALSE,6,12%,4.8,7.2
FALSE,S_41675,41675,WYNCA DICAMBA 48,XINANCHEM ARGENTINA S.A.,"DICAMBA 57,8%",III,FALSE,22,19%,17.6,26.4
FALSE,S_41674,41674,ATRAMYL PLUS,TECNOMYL S.A.,ATRAZINA 25%## SIMAZINA 25%,III,FALSE,20,17%,16,24
FALSE,S_41673,41673,LUAN PLUS,AGROFINA S A,"BENAZOLIN ETIL 20%## FOMESAFEN 13,3%",IV,FALSE,19,21%,15.2,22.8
FALSE,S_41672,41672,"POWER MAXX 75,7",ATANOR SOCIEDAD EN COMANDITA POR ACCIONES,"GLIFOSATO 75,7%",III,FALSE,7,14%,5.6,8.4
FALSE,S_41671,41671,TOUCHDOWN MAX,SYNGENTA AGRO SOCIEDAD ANONIMA,"GLIFOSATO 75,7%",III,FALSE,13,0%,10.4,15.6
FALSE,S_41670,41670,LIFELINE SYNC,UPL ARGENTINA S.A.,"GLUFOSINATO DE AMONIO 12,8%## S-METOLACLORO 30%",III,FALSE,16,19%,12.8,19.2
FALSE,S_41669,41669,FOMESAFEN CONTROLER,AGROFACIL S A,"FOMESAFEN 26,2%",III,FALSE,23,21%,18.4,27.6
FALSE,S_41668,41668,CHECKMATE CRS DISPENSER,AGRI CHECK SRL,"RESCALURE 5,86%",IV,FALSE,15,11%,12,18
FALSE,S_41667,41667,POTENZA ULTRA IV SG,NUTRIEN AG SOLUTIONS ARGENTINA SA,"GLIFOSATO 75,7%",III,FALSE,8,2%,6.4,9.6
FALSE,S_41666,41666,LEBLAT,FARMCHEM SA,CLORANTRANILIPROLE 20%,IV,FALSE,15,15%,12,18
FALSE,S_41665,41665,MORSH FULL,RAINBOW AGROSCIENSES SA,"M.C.P.A. 91,9%",II,FALSE,10,6%,8,12
FALSE,S_41664,41664,GRAVITON,ISK ARGENTINA BRANCH,"TIAFENACIL 33,9%",III,FALSE,20,4%,16,24
FALSE,S_41663,41663,"2,4-D 97 SIGMA",SIGMA AGRO SA,"2,4 D 97%",II,FALSE,13,10%,10.4,15.6
FALSE,S_41662,41662,EMPERA,SUMITOMO CHEMICAL ARGENTINA S.A.,"EPYRIFENACIL 5,5%",III,FALSE,10,2%,8,12
FALSE,S_41661,41661,DESEKTOR,DVA AGRO GMBH,"GLIFOSATO 38,5%## GLUFOSINATO DE AMONIO 15%",III,FALSE,12,4%,9.6,14.4
FALSE,S_41660_BIO,41660 BIO,BIOKATO,AGROBIO ARGENTINA SAU,"PSEUDOMONAS FLUORESCENS + PSEUDOMONAS CHLORORAPHIS  1,8%",IV,FALSE,7,19%,5.6,8.4
FALSE,S_41659,41659,ACADEMIX 89 LV EC,CHEMOTECNICA SOCIEDAD ANONIMA,"2,4 D 89%",III,FALSE,18,16%,14.4,21.6
FALSE,S_41658,41658,BRANDAN 48,AGROFINA S A,CLETODIM 48%,III,FALSE,23,19%,18.4,27.6
FALSE,S_41657,41657,DONUM,SUMMIT AGRO ARGENTINA S A,DINOTEFURAN 70%,IV,FALSE,17,10%,13.6,20.4
FALSE,S_41656,41656,ARACLE 24,ARANAMI INDUSTRIAL S.A.,CLETODIM 24%,III,FALSE,8,2%,6.4,9.6
FALSE,S_41655,41655,MYCLO 25 IA,PODLESCH SOCIEDAD ANONIMA,MICLOBUTANIL 25%,III,FALSE,24,18%,19.2,28.8
FALSE,S_41654,41654,OLASOJA MAX SC,REGISTROS AGROPECUARIOS SRL,FLUMIOXAZIN 48%,IV,FALSE,12,12%,9.6,14.4
FALSE,S_41653,41653,ATRAZINA 90 FENDER,PRO CROP S.A.,ATRAZINA 90%,IV,FALSE,7,23%,5.6,8.4
FALSE,S_41652,41652,SHERMAN MAX,SANTEX S. A.,"GLIFOSATO 75,7%",III,FALSE,13,13%,10.4,15.6
FALSE,S_41651,41651,HALOXIFOP 54 EBC,ENRIQUE M BAYA CASAL S A,HALOXIFOP-P METIL 54%,III,FALSE,8,14%,6.4,9.6
FALSE,S_41650,41650,FOMESA 25 EBC,ENRIQUE M BAYA CASAL S A,"FOMESAFEN 26,25%",III,FALSE,23,4%,18.4,27.6
FALSE,S_41649,41649,ADAMA PARAMER,ADAMA ARGENTINA SOCIEDAD ANONIMA,PIROXASULFONE 85%,III,FALSE,25,18%,20,30
FALSE,S_41648,41648,MIRAVIS OPTI CON TECNOLOGÍA ADEPIDYN,SYNGENTA AGRO SOCIEDAD ANONIMA,"CLOROTALONIL 50%## PIDIFLUMETOFEN 2,25%",III,FALSE,11,1%,8.8,13.2
FALSE,S_41647,41647,COLOSSO 20,WECAN AGRO SA,CLORANTRANILIPROLE 20%,IV,FALSE,5,14%,4,6
FALSE,S_41646,41646,HO-FUNGUS C+T,BIOCORP-HO S. A.,CARBENDAZIM 25%## TIRAM 25%,III,FALSE,6,25%,4.8,7.2
FALSE,S_41645,41645,PARAQUAT AGROFINA,AGROFINA S A,"PARAQUAT DICLORURO 27,6%",II,FALSE,20,14%,16,24
FALSE,S_41644,41644,SAMBOY,AGROFINA S A,"2,4 D 78,1%",II,FALSE,6,1%,4.8,7.2
FALSE,S_41643,41643,ATRAZINA 90 HT JLB,JLB Y ASOCIADOS S.A,ATRAZINA 90%,III,FALSE,25,15%,20,30
FALSE,S_41642,41642,HIDROCHEM,SIPSACHEM SA,HIDROXIDO DE COBRE 77%,II,FALSE,17,11%,13.6,20.4
FALSE,S_41641,41641,TORPEDO FACYT,FACYT I + D SA,LUFENURON 5%,IV,FALSE,23,5%,18.4,27.6
FALSE,S_41640,41640,IMIFLUM,XOMEZANA SA,"FLUMIOXAZIN 10%## IMAZETAPIR 21,2%",IV,FALSE,8,8%,6.4,9.6
FALSE,S_41639,41639,MAXGRAVIS,AGM ARGENTINA S. A.,"ALCOHOL GRASO ETOXILADO 7,86%",IV,FALSE,19,0%,15.2,22.8
FALSE,S_41638,41638,A STARTS,THILOS SRL,CLETODIM 24%,III,FALSE,10,17%,8,12
FALSE,S_41637,41637,GENSAFEN MAX,TECNOMYL S.A.,FOMESAFEN 50%,III,FALSE,20,13%,16,24
FALSE,S_41636,41636,MULSANNE,NITRASOIL ARGENTINA SOCIEDAD ANONIMA S. A.,"ISARIA FUMOSOROSEA 8,5%",IV,FALSE,14,5%,11.2,16.8
FALSE,S_41635,41635,BB TOX X-TRA,HUAGRO S A,"ACETAMIPRID 1,6%",IV,FALSE,20,16%,16,24
FALSE,S_41634,41634,SEEDXIL,FITOQUIMICA S.A.,"FLUDIOXONIL 2,5%## METALAXIL 1%",IV,FALSE,25,4%,20,30
FALSE,S_41633,41633,"GLIFOSATO 68,8% EBC",ENRIQUE M BAYA CASAL S A,"GLIFOSATO 75,7%",III,FALSE,10,2%,8,12
FALSE,S_41632,41632,REVITON,HELM ARGENTINA S R L,TIAFENACIL 70%,III,FALSE,6,16%,4.8,7.2
TRUE,S_41630,41630,PYRMAX 48 SIP AA,SIPCAM ARGENTINA S.R.L.,"IMAZAPIR 58,9%",IV,FALSE,23,13%,18.4,27.6
FALSE,S_41629,41629,METRIBUZIN 48% EBC,ENRIQUE M BAYA CASAL S A,METRIBUZIN 48%,II,FALSE,14,23%,11.2,16.8
FALSE,S_41628,41628,"CONTROLER 2,4 D BV",AGROFACIL S A,"2,4 D 89%",II,FALSE,16,10%,12.8,19.2
FALSE,S_41627,41627,PEGASO 84% WG,PROQUIMUR SA,DICLOSULAM 84%,IV,FALSE,8,9%,6.4,9.6
FALSE,S_41626,41626,GREEN II MAX,EL TOBIANO SA,"GLIFOSATO 75,7%",III,FALSE,9,19%,7.2,10.8
FALSE,S_41625,41625,TARGET 79,JLB Y ASOCIADOS S.A,M.S.M.A. 79%,II,FALSE,12,18%,9.6,14.4
FALSE,S_41624,41624,MATENO PLUS,BAYER SOCIEDAD ANONIMA,ACLONIFEN 45%## DIFLUFENICAN 3%## FLUFENACET 12%,III,FALSE,25,9%,20,30
FALSE,S_41623,41623,DIFLU 50 RINDER,AGROFACIL S A,DIFLUFENICAN 50%,IV,FALSE,6,1%,4.8,7.2
FALSE,S_41622,41622,ECLIPSE 48 SC,CHEMOTECNICA SOCIEDAD ANONIMA,FLUMIOXAZIN 48%,IV,FALSE,20,0%,16,24
FALSE,S_41621,41621,CIPERMETRINA 25 CHEMOTECNICA,CHEMOTECNICA SOCIEDAD ANONIMA,CIPERMETRINA 25%,II,FALSE,5,7%,4,6
FALSE,S_41620,41620,DIMETOATO 40 IA,PODLESCH SOCIEDAD ANONIMA,DIMETOATO 40%,II,FALSE,5,1%,4,6
FALSE,S_41619,41619,STARZONE,AGRI STAR S. A.,CLOMAZONE 48%,III,FALSE,13,10%,10.4,15.6
FALSE,S_41618,41618,"GLIFO 75,7 WG DELTA AGRO",AGROINSUMOS B Y L S.A.,"GLIFOSATO 75,7%",IV,FALSE,6,20%,4.8,7.2
FALSE,S_41617,41617,MATACO BAGUAL,FACYT I + D SA,"BIFENTRIN 5%## IMIDACLOPRID 20%## LAMBDA-CIALOTRINA 7,5%",II,FALSE,24,25%,19.2,28.8
FALSE,S_41616,41616,AZUFRE 80 JLB,JLB Y ASOCIADOS S.A,AZUFRE 80%,III,FALSE,15,12%,12,18
FALSE,S_41615,41615,KILLDAN MAX,COOPERATIVA  AGROPECUARIA DE ACOPIADORES FEDERADOS LIMITADA,PIRIMIFOS METIL 50%,III,FALSE,13,12%,10.4,15.6
FALSE,S_41614,41614,pH CONTROL,H 2 0 CONTROL SOCIEDAD DE RESPONSABILIDAD LIMITADA,ACIDO FOSFORICO 40%,III,FALSE,16,1%,12.8,19.2
FALSE,S_41613,41613,OPONENTE SC,ATANOR SOCIEDAD EN COMANDITA POR ACCIONES,METOXIFENOCIDE 24%,IV,FALSE,13,7%,10.4,15.6
FALSE,S_41612,41612,PLANITY XPERT,SUMITOMO CHEMICAL ARGENTINA S.A.,DIFENOCONAZOLE 12%## INPYRFLUXAM  6%## PICOXISTROBIN 12%,III,FALSE,9,14%,7.2,10.8
FALSE,S_41611,41611,FLUMIOXAZIN 48 CHEMOTECNICA,CHEMOTECNICA SOCIEDAD ANONIMA,FLUMIOXAZIN 48%,IV,FALSE,17,3%,13.6,20.4
FALSE,S_41610,41610,"GLIFOSATO 68,8% EBC DRY",ENRIQUE M BAYA CASAL S A,"GLIFOSATO 75,7%",IV,FALSE,14,15%,11.2,16.8
FALSE,S_41609,41609,ATINE PH,AKTIV S.R.L.,ACIDO FOSFORICO 60%,III,FALSE,10,20%,8,12
FALSE,S_41608,41608,OPTERA PRO,SUMITOMO CHEMICAL ARGENTINA S.A.,CLORANTRANILIPROLE 20%,IV,FALSE,8,1%,6.4,9.6
FALSE,S_41607,41607,CAMOUFLAGE 48 EC,FARM CHEMICALS ARGENTINA S.R.L,CLOMAZONE 48%,III,FALSE,9,13%,7.2,10.8
FALSE,S_41606,41606,TAURUS ELITE IV,SURCOS S.A.,S-METOLACLORO 45%,IV,FALSE,6,25%,4.8,7.2
FALSE,S_41605,41605,TAURUS ELITE III,SURCOS S.A.,S-METOLACLORO 45%,IV,FALSE,20,0%,16,24
FALSE,S_41604,41604,KAIROS ELITE IV,SURCOS S.A.,SULFENTRAZONE 10%,III,FALSE,5,4%,4,6
FALSE,S_41603,41603,GLIFOSATO MAX XIAN,SIGMA AGRO SA,"GLIFOSATO 75,7%",IV,FALSE,10,13%,8,12
FALSE,S_41602,41602,PROTECTA PLUS,NOVA  S. A. U.,"AZOXISTROBINA ,6%## FIPRONIL 15,2%## FLUDIOXONIL 1,04%## METALAXIL 2%## METIL TIOFANATO 10%## TIAMETOXAM 28%",II,FALSE,19,14%,15.2,22.8
FALSE,S_41601,41601,CLETODIM 24 SIP BB,SIPCAM ARGENTINA S.R.L.,CLETODIM 24%,III,FALSE,21,15%,16.8,25.2
FALSE,S_41600,41600,INDOMAN 75”,BATLLA DANIEL PATRICIO,MANCOZEB 75%,III,FALSE,14,18%,11.2,16.8
FALSE,S_41599,41599,XPULSE MAX 90,PROCHEM BIO SA.,GLUFOSINATO DE AMONIO 90%,III,FALSE,15,9%,12,18
FALSE,S_41598,41598,TBZ,3 LOMAS  S.A.,TERBUTILAZINA 50%,II,FALSE,11,12%,8.8,13.2
FALSE,S_41597,41597,CHECKMATE CRS,NASTIA S.R.L.,"RESCALURE 5,86%",IV,FALSE,7,12%,5.6,8.4
FALSE,S_41596,41596,GRO-STOP BASIS LWAMSA,LAMB WESTON ALIMENTOS MODERNOS S. A.,CLORPROPHAM (CIPC) 30%,III,FALSE,16,23%,12.8,19.2
FALSE,S_41595,41595,KEPLER,AGROFINA S A,FLUMIOXAZIN 48%,IV,FALSE,25,6%,20,30
FALSE,S_41594,41594,ROMEL,AGROFINA S A,FLUROCLORIDONA 25%,III,FALSE,11,25%,8.8,13.2
FALSE,S_41593,41593,DEDALO ELITE VI,SURCOS S.A.,"2,4 D 30%",II,FALSE,24,21%,19.2,28.8
FALSE,S_41592,41592,SUPERA MIX,NOVA  S. A. U.,ALCOHOL GRASO ETOXILADO 2%,IV,FALSE,22,1%,17.6,26.4
FALSE,S_41591,41591,PROTECTA TRIGO PLUS,NOVA  S. A. U.,"DIFENOCONAZOLE 3,69%## IMIDACLOPRID 12%## METALAXIL ,62%",IV,FALSE,15,7%,12,18
FALSE,S_41590,41590,PROTECTA TRIGO,NOVA  S. A. U.,"IMIDACLOPRID 23,3%## TEBUCONAZOLE 1,3%",II,FALSE,18,19%,14.4,21.6
FALSE,S_41589,41589,PYRMAX 48 SIP BB,SIPCAM ARGENTINA S.R.L.,"IMAZAPIR 58,9%",IV,FALSE,9,17%,7.2,10.8
FALSE,S_41588,41588,TOMCAT,PHILAGRO S.A,METRIBUZIN 48%,II,FALSE,17,21%,13.6,20.4
FALSE,S_41587,41587,HUNT,ARROWWS ARGENTINA S. R. L.,MEZCLA DE ESTERES Y JABONES PROVENIENTES DE ACIDOS GRASOS DE ACEITES VEGETALES TRANSESTERIFICADOS CON GLICERINA. Contiene SUCROGLICERIDOS 86%,IV,FALSE,7,6%,5.6,8.4
FALSE,S_41586,41586,GREEN II POTASICO,EL TOBIANO SA,"GLIFOSATO 66,2%",IV,FALSE,6,16%,4.8,7.2
FALSE,S_41585,41585,OLASOJA MAX,REGISTROS AGROPECUARIOS SRL,FLUMIOXAZIN 48%,IV,FALSE,8,15%,6.4,9.6
FALSE,S_41584,41584,SUPERA GREEN,TROPFEN S. A.,"MEZCLA DE TRIOLEATO DE POLIGLICEROL Y SORBITAN ESTER POLIETOXILADO 96,5%",IV,FALSE,21,8%,16.8,25.2
FALSE,S_41583,41583,ARAMEC,ARANAMI INDUSTRIAL S.A.,"ABAMECTINA 1,8%",II,FALSE,25,1%,20,30
FALSE,S_41582,41582,ATREVIA SOJA,RIZOBACTER ARGENTINA S A,"TRICHODERMA HARZIANUM 3,24%",IV,FALSE,25,22%,20,30
FALSE,S_41581,41581,MESAPLEX,ADAMA ARGENTINA SOCIEDAD ANONIMA,MESOTRIONE 48%,III,FALSE,17,4%,13.6,20.4
FALSE,S_41579,41579,SALTRIN 10,SAL ARGENTINA S.R.L.,BIFENTRIN 10%,II,FALSE,17,4%,13.6,20.4
FALSE,S_41578,41578,"EITO 32,5 SC",AGROCAC S.R.L.,"PROTIOCONAZOLE 17,5%## TRIFLOXISTROBIN 15%",III,FALSE,9,16%,7.2,10.8
FALSE,S_41577,41577,BARUS 70 WG,ISK ARGENTINA BRANCH,TIAFENACIL 70%,III,FALSE,21,12%,16.8,25.2
FALSE,S_41576,41576,TBZ SIGMA,SIGMA AGRO SA,TERBUTILAZINA 50%,II,FALSE,15,11%,12,18
FALSE,S_41575,41575,CTD SIGMA,SIGMA AGRO SA,CLETODIM 24%,III,FALSE,14,11%,11.2,16.8
FALSE,S_41574,41574,PARAQUAT AGROFINA II,AGROFINA S A,"PARAQUAT DICLORURO 27,6%",III,FALSE,16,24%,12.8,19.2
FALSE,S_41573,41573,FLUROXIPIR SIGMA,SIGMA AGRO SA,FLUROXIPIR MEPTIL 48%,III,FALSE,15,3%,12,18
FALSE,S_41572,41572,PATTERN MYL BB,TECNOMYL S.A.,S-METOLACLORO 96%,III,FALSE,25,9%,20,30
FALSE,S_41571,41571,PATTERN MYL AA,TECNOMYL S.A.,S-METOLACLORO 96%,III,FALSE,24,17%,19.2,28.8
FALSE,S_41570,41570,AUSTAK AXIT PRO,HELM ARGENTINA S R L,"2,4 D 30%",III,FALSE,5,13%,4,6
FALSE,S_41569,41569,"2,4-D 30 ME SIGMA",SIGMA AGRO SA,"2,4 D 30%",III,FALSE,12,2%,9.6,14.4
FALSE,S_41568,41568,LUAN,AGROFINA S A,BENAZOLIN ETIL 50%,IV,FALSE,17,13%,13.6,20.4
FALSE,S_41567,41567,GLU SIGMA,SIGMA AGRO SA,GLUFOSINATO DE AMONIO 20%,III,FALSE,23,6%,18.4,27.6
FALSE,S_41566,41566,TERBUTILAZINA FORMULAGRO,FORMULAGRO SOCIEDAD RESPONSABILIDAD LIMITADA,TERBUTILAZINA 50%,II,FALSE,19,13%,15.2,22.8
FALSE,S_41565,41565,PLANITY MAX,SUMITOMO CHEMICAL ARGENTINA S.A.,INPYRFLUXAM  6%## TEBUCONAZOLE 20%,III,FALSE,13,1%,10.4,15.6
FALSE,S_41564,41564,PYROXASULFONE,SUMMIT AGRO ARGENTINA S A,PIROXASULFONE 48%,IV,FALSE,23,19%,18.4,27.6
FALSE,S_41563,41563,CHEMODIM 24 EC,CHEMOTECNICA SOCIEDAD ANONIMA,CLETODIM 24%,III,FALSE,20,6%,16,24
FALSE,S_41562,41562,HO-WETMIX,BIOCORP-HO S. A.,ALCOHOL GRASO ETOXILADO 48%## ALCOHOL LAURICO ETOXILADO 48%,IV,FALSE,23,8%,18.4,27.6
FALSE,S_41561,41561,HO-WETOIL M.E.,BIOCORP-HO S. A.,ESTERES METILICOS DE ACIDOS GRASOS DE ACEITE VEGETAL 82%,IV,FALSE,17,16%,13.6,20.4
FALSE,S_41560,41560,CIDETRAK EGVM AR,CHEMOTECNICA SOCIEDAD ANONIMA,"(E,Z)7,9-DODECADIENIL ACETATO 3,5%",IV,FALSE,24,23%,19.2,28.8
FALSE,S_41559,41559,METSULFURON 60% DELTA,DELTA AGROINSUMOS S.A.,METSULFURON METIL 60%,IV,FALSE,5,14%,4,6
FALSE,S_41558,41558,DEVAP,FARMCHEM SA,"DELTAMETRINA 2,5%",II,FALSE,25,24%,20,30
FALSE,S_41557_BIO,41557 BIO,COSTAR WG,SYNGENTA AGRO SOCIEDAD ANONIMA,BACILLUS THURINGIENSIS 85%,IV,FALSE,7,21%,5.6,8.4
FALSE,S_41556,41556,CAMOUFLAGE,RAINBOW AGROSCIENSES SA,CLOMAZONE 50%,III,FALSE,8,14%,6.4,9.6
FALSE,S_41555,41555,CLETODIM MACRO PROTECT 24%,LDC ARGENTINA S.A.,CLETODIM 24%,III,FALSE,16,23%,12.8,19.2
FALSE,S_41554,41554,GRAMINI ELITE III,SURCOS S.A.,CLETODIM 12%## HALOXIFOP-P METIL 6%,IV,FALSE,8,21%,6.4,9.6
FALSE,S_41553,41553,DEDALO DUO ELITE IV,SURCOS S.A.,"2,4 D 8%## GLIFOSATO 11%",III,FALSE,23,10%,18.4,27.6
FALSE,S_41552,41552,EFFECTUX SIP AA,SIPCAM ARGENTINA S.R.L.,"2,4 D 30%## DICAMBA 4,8%",III,FALSE,24,7%,19.2,28.8
FALSE,S_41551,41551,S-MAXX SIP AA,SIPCAM ARGENTINA S.R.L.,S-METOLACLORO 96%,II,FALSE,15,3%,12,18
FALSE,S_41550,41550,TRICOSTAR,RIZOBACTER ARGENTINA S A,"TRICHODERMA HARZIANUM 3,24%",IV,FALSE,19,1%,15.2,22.8
FALSE,S_41549,41549,EMULSOR,RIZOBACTER ARGENTINA S A,ALCOHOL GRASO ETOXILADO 48%,III,FALSE,15,14%,12,18
FALSE,S_41548,41548,ATREVIA CEREALES,RIZOBACTER ARGENTINA S A,"TRICHODERMA HARZIANUM 3,24%",IV,FALSE,11,9%,8.8,13.2
FALSE,S_41547,41547,VENTURA SOJA,RIZOBACTER ARGENTINA S A,"TRICHODERMA HARZIANUM 3,24%",IV,FALSE,7,12%,5.6,8.4
FALSE,S_41546,41546,FULL KROM,KROMAGRO SOCIEDAD DE RESPONSABILIDAD LIMITADA,"GLIFOSATO 66,2%",IV,FALSE,24,6%,19.2,28.8
FALSE,S_41545,41545,2.4D KROM ETIL,KROMAGRO SOCIEDAD DE RESPONSABILIDAD LIMITADA,"2,4 D 89%",III,FALSE,11,25%,8.8,13.2
FALSE,S_41544,41544,FIRM,CORTEVA AGRISCIENCE ARGENTINA SRL,"CLOQUINTOCET MEXIL 1,6%## FLUROXIPIR MEPTIL 36%## HALAUXIFEN METIL 1,7%",III,FALSE,15,15%,12,18
FALSE,S_41543,41543,GLIFOSATO SINO-AGRI,SAL ARGENTINA S.R.L.,"GLIFOSATO 66,2%",IV,FALSE,5,10%,4,6
FALSE,S_41542,41542,GLUFOSINATO CHEMOTECNICA 20 SL,CHEMOTECNICA SOCIEDAD ANONIMA,GLUFOSINATO DE AMONIO 20%,IV,FALSE,22,3%,17.6,26.4
FALSE,S_41541,41541,DEDALO DUO ELITE II,SURCOS S.A.,"2,4 D 8%## GLIFOSATO 11%",III,FALSE,20,22%,16,24
